Sentence,Emotion,Cleaned_Sentence
xinh mà còn ngáo nữa thì người yêu mới cưng =)),Enjoyment,xinh mà còn ngáo nữa thì người_yêu mới cưng
mình đéo làm nhé bạn .,Disgust,mình đéo làm nhé bạn
"ai thì tao không biết , chứ tao thấy tiền là đã có động lực phấn đấu rồi",Enjoyment,ai thì tao không biết chứ tao thấy tiền là đã có động_lực phấn_đấu rồi
":)))) cuộc sống mà . ngày càng thấy bản thân quá nhạt và "" duyên "" :v",Sadness,icon_vui cuộc_sống mà ngày_càng thấy bản_thân quá nhạt và duyên v
"moá nó , cười đau hết cả ruột",Enjoyment,moá nó cười đau hết cả ruột
sao con này mồm nó cứ rộng toang toác ra như thế nhỉ ?,Surprise,sao con này mồm nó cứ rộng toang_toác ra như thế nhỉ
ý tưởng hay đáy chứ,Enjoyment,ý_tưởng hay đáy chứ
có thằng nào mắc cười không hay là do tao đéo có cảm xúc vậy vkl,Enjoyment,có thằng nào mắc cười không hay_là do tao đéo có cảm_xúc vậy rất
lại là án oan sai 😔😔😔,Sadness,lại là án oan sai icon_buon icon_buon icon_buon
yêu như trẻ con tập yêu ây .. có cái chúc sinh nhật mà nháo nhào lên cãi nhau,Disgust,yêu như trẻ_con tập yêu ây có cái chúc sinh_nhật mà nháo_nhào lên cãi nhau
tao quen rồi 😌,Enjoyment,tao quen rồi
có ai vào đọc bình luận trước khi xem như tao không ???,Other,có ai vào đọc bình_luận trước khi xem như tao không
tình yêu không bao giờ là mãi mãi . rồi cây cũng chết héo mà thôi khà khà,Enjoyment,tình_yêu không bao_giờ là mãi_mãi rồi cây cũng chết héo mà thôi khà_khà
"đúng là những đứa khốn nạn , có bán hàng hay không thì nói một câu",Anger,đúng là những đứa khốn_nạn có bán hàng hay không thì nói một câu
đéo tin gì cả 😑,Other,đéo tin gì cả
xem mà cuối phim thấy tội chị ma nữ 😂,Sadness,xem mà cuối phim thấy tội chị ma nữ icon_vui
thương các con quá đi,Sadness,thương các con quá đi
trung thu là tết thiếu nhi cớ sao người lớn lại vi vu thế nhỉ,Enjoyment,trung_thu là tết thiếu_nhi cớ_sao người_lớn lại vi_vu thế nhỉ
thời buổi bây giờ càng nhiều tiền thì cơ hội có việc làm sẽ cao hơn,Disgust,thời_buổi bây_giờ càng nhiều tiền thì cơ_hội có việc_làm sẽ cao hơn
per xem đi haha,Enjoyment,per xem đi haha
per em hiểu sao anh đưa em quyển sổ rồi nha kkk,Enjoyment,per em hiểu sao anh đưa em quyển sổ rồi nha_k
em per gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải cứu :)),Other,em per gì gì đang hot đi làm lại ngực mà đi đoạn đường này thì ngải_cứu icon_vui
quả quần tụt tận lỗ đít . đéo hiểu sao n có người yêu,Disgust,quả quần tụt tận lỗ_đít đéo hiểu sao n có người_yêu
"cái này dùng con kiến to to mới có vị chua , còn cái loại kiến này làm màu không tác dụng gì",Other,cái này dùng con kiến to to mới có vị chua còn cái loại kiến này làm màu không tác_dụng gì
trông đen đen bẩn bẩn nhìn phát khiếp,Disgust,trông đen đen bẩn bẩn nhìn phát khiếp
đó là 1 câu chuyện buồn,Sadness,đó là 1 câu_chuyện buồn
"con quỷ này hồi nhỏ tao khóc vì nó hoài , thấy nó không dám đi , bỏ đường phải vòng đường khác ,",Fear,con quỷ này hồi nhỏ tao khóc vì nó hoài thấy nó không dám đi bỏ đường phải vòng đường khác
phải chi có người yêu nhắn tin ngọt ngào như này,Enjoyment,phải chi có người_yêu nhắn_tin ngọt_ngào như này
nhìn mặt bé mèo khó ở ghê - _ -,Disgust,nhìn mặt bé mèo khó_ở ghê _
tao cũng có 1 con đi lạc 1 tuần xong nó về bắt cho tao 2 con chuột làm tao mất ngủ xong hôm sau nó đi tiếp 😞 tao mong nó về lắm 😞,Sadness,tao cũng có 1 con đi lạc 1 tuần xong nó về bắt cho tao 2 con chuột làm tao mất_ngủ xong hôm sau nó đi tiếp icon_buon tao mong nó về lắm icon_buon
ác quá,Disgust,ác quá
lâu lâu được nghe truyện cổ tích thấy còn niềm tin vào cuộc sống 🤣🤣,Enjoyment,lâu_lâu được nghe truyện_cổ_tích thấy còn niềm tin vào cuộc_sống icon_vui icon_vui
tao lại thích chua lè chua loét chứ :))),Enjoyment,tao lại thích chua_lè chua_loét chứ icon_vui
nó ảnh hưởng tới cơ thể như thế nào vậy ạ ?,Surprise,nó ảnh_hưởng tới cơ_thể như thế_nào vậy ạ
chúng ta thật hạnh phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà ?,Enjoyment,chúng_ta thật hạnh_phúc và luôn đi chung với nhau suốt chặn đường dài rồi đó nà
như nó không phải là tình yêu . khi đã là tình yêu thì không gì đánh đổi nó cả . con gái kỳ lạ chỗ đó .,Other,như nó không phải là tình_yêu khi đã là tình_yêu thì không gì đánh_đổi nó cả con_gái kỳ_lạ chỗ đó
t thấy dễ mà . không biết thì học khác biết . ez vãi,Enjoyment,tao thấy dễ mà không biết thì học khác biết ez vãi
"nếu không làm được thì nghỉ đi để người khác làm . đừng để vì mình mà làm ảnh hưởng đến uy tín , danh dự , nhân phẩm của chị em trong ngành . 😌",Disgust,nếu không làm được thì nghỉ đi để người khác làm đừng để vì mình mà làm ảnh_hưởng đến uy_tín danh_dự nhân_phẩm của chị_em trong ngành
"gia đình bọn này chắc cũng chả ra cái gì con cái mới thế , tội em gái bị đánh",Disgust,gia_đình bọn này chắc cũng chả ra cái gì con_cái mới thế tội em_gái bị đánh
ôi cưng cưng quá,Enjoyment,ôi cưng cưng quá
dme thần đèn ăn theo tổng đài vtc à,Disgust,dme thần đèn ăn_theo tổng_đài_vtc à
"đã dùng , nhớ quá ngày xưa",Enjoyment,đã dùng nhớ quá ngày_xưa
đơn giản 🙂,Enjoyment,đơn_giản icon_vui
rủ được crush đi thì không cần qua đây nữa rồi admin ưiiii :(((,Sadness,rủ được crush đi thì không cần qua đây nữa rồi admin ưi icon_buon
tình cờ gặp nó và đột nhiên cắm mặt bỏ chạy như điên,Fear,tình_cờ gặp nó và đột_nhiên cắm mặt bỏ chạy như_điên
vl bố tao đang ở đây mà chắc sáng mai mới về mất ??,Fear,rất bố tao đang ở đây mà chắc sáng_mai mới về mất
căng thẳg quá mà,Sadness,căng thẳg quá mà
"hồi bé đi mua xôi bị một đàn ngỗng đuổi 🙂 may mình đi xe đạp không thì ăn lol ** với chúng nó , cái thứ mất dậy 🙎🏻‍♀️🙎🏻‍♀️🙎🏻‍♀️",Fear,hồi bé đi mua xôi bị một đàn ngỗng đuổi icon_vui may mình đi xe_đạp không thì ăn lol với chúng_nó cái thứ mất dậy
hồi năm lớp 8 lớp tao bị quỳ trước sân trường đây nguyên lớp luôn,Other,hồi năm lớp 8 lớp tao bị quỳ trước sân trường đây nguyên lớp luôn
chân thành và giản dị . con yêu mến tình cảm của 2 cụ,Enjoyment,chân_thành và giản_dị con yêu_mến tình_cảm của 2 cụ
cố gắng lên cụ nhé !!❤,Other,cố_gắng lên cụ nhé
nhốt hết mấy thành phần hát karaoke đấy vào sọt đi trời,Anger,nhốt hết mấy thành_phần hát karaoke đấy vào sọt đi trời
"có tài nhưng đôi lúc muốn làm diễn viên hài 🤣🤣🤣, khoái thanh niên này buồn cười vkl",Enjoyment,có tài nhưng đôi lúc muốn làm diễn_viên hài icon_vui icon_vui icon_vui khoái thanh_niên này buồn_cười rất
cuộc sống đổi thay làm lòng người thay đổi . hiểu vậy cho nó vuông,Other,cuộc_sống đổi_thay làm lòng người thay_đổi hiểu vậy cho nó vuông
chung quy là hình thức quảng cáo !!!,Other,chung_quy là hình_thức quảng_cáo
sao lại có chuyện vô lý như vậy được chứ 😠. rồi bé nhỏ sẽ như thế nào khi chứng kiến bố nó bị đâm ngay trước mặt nó . nghĩ đã không dám nghĩ tới rồi thấy thương bé quá .,Other,sao lại có chuyện vô_lý như_vậy được chứ icon_tucgian rồi bé_nhỏ sẽ như thế_nào khi chứng_kiến bố nó bị đâm ngay trước mặt nó nghĩ đã không dám nghĩ tới rồi thấy thương bé quá
trông anh thần thái vãi :v,Enjoyment,trông anh thần_thái vãi v
khi bạn thật lòng với ai đó . nhưng người ta coi bạn như 1 trò đùa,Other,khi bạn thật lòng với ai đó nhưng người_ta coi bạn như 1 trò_đùa
giống ml em tao hồi n nhỏ vãi . muốn ngủ với mẹ nhưng bị tao nịnh nọt bắt lên ngủ với tao :)),Enjoyment,giống ml em tao hồi n nhỏ vãi muốn ngủ với mẹ nhưng bị tao nịnh_nọt bắt lên ngủ với tao icon_vui
đụ con đĩ mẹ hôm nọ đang ngủ thằng lol nào hét ầm ầm . mày về nà hét cha hét mẹ mày chớ ngủ không yên,Anger,đụ con đĩ mẹ hôm nọ đang ngủ thằng lol nào hét ầm_ầm mày về nà hét cha hét mẹ mày chớ ngủ không yên
có tất cả các vị mày niếm được,Other,có tất_cả các vị mày niếm được
cắt tóc rồi mặt như con heo,Disgust,cắt tóc rồi mặt như con_heo
"bây giờ con đã sai vì đã chưa làm gì được cho cha , con thật sự xin lỗi cha và mẹ ,",Sadness,bây_giờ con đã sai vì đã chưa làm gì được cho cha con thật_sự xin_lỗi cha và mẹ
không thấy không biết lòng không đau,Sadness,không thấy không biết lòng không đau
tán gái hay vãi,Enjoyment,tán gái hay vãi
nhìn ghê vãi . ai nuôi mà ác thế,Disgust,nhìn ghê vãi ai nuôi mà ác_thế
"đúng . làm gì không quan trọng , quan trọng là bạn làm điều đó với ai",Other,đúng làm gì không quan_trọng quan_trọng là bạn làm điều đó với ai
"xời tưởng gì , cái này tao làm được =)))",Enjoyment,xời tưởng gì cái này tao làm được
thôi tốt nhất là chịu thua đi . thắng hay thua cũng đâu có được gì .,Other,thôi tốt nhất là chịu_thua đi thắng hay thua cũng đâu có được gì
giao lưu tí không . tự bấm chứ không mua =))),Enjoyment,giao_lưu tí không tự bấm chứ không mua
thằng nào quảng cáo xe vãi thế,Surprise,thằng nào quảng_cáo xe vãi_thế
đấy mới là điều càn đó . huhu,Sadness,đấy mới là điều càn đó huhu
hạnh phúc là đây chứ đâu =))),Enjoyment,hạnh_phúc là đây chứ đâu
đó cũng là cái cốt lõi cái then chốt thúc đẩy ông phát tiển sách lược của mình bằng cái tâm và cái tầm .,Other,đó cũng là cái cốt_lõi cái then_chốt thúc_đẩy ông phát tiển sách_lược của mình bằng cái tâm và cái tầm
môn này đéo dành cho những người chân ngắn như tao :) bay qua chắc lọt mẹ xuống sông ^^,Fear,môn này đéo dành cho những người chân ngắn như tao icon_vui bay qua chắc lọt mẹ xuống sông icon_vui
xem đi xem lại vẫn hay ;)))))),Enjoyment,xem đi xem_lại vẫn hay
per ông cháu không nè kkk,Enjoyment,per ông cháu không nè k
có hôm tao đang vương nỏ tính bắn vào con họa mi đang đậu trên cành thì ai ngờ nó phản đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa,Sadness,có hôm tao đang vương nỏ tính bắn vào con_họa mi đang đậu trên cành thì ai_ngờ nó phản_đame đứt thun dội ngược vào mặt từ đó tao không còn chơi nữa
cưng xỉu ~~??,Enjoyment,cưng xỉu
đằng nào thì điều hòa vẫn bật mà .,Other,đằng nào thì điều hòa vẫn bật mà
:))) mình sướng mà mình không biết hưởng nhìn lại những mảnh đời bất hạnh mình nguối mặt thẹn gấp 100 lần,Sadness,icon_vui mình sướng mà mình không biết hưởng nhìn lại những mảnh đời bất_hạnh mình nguối mặt thẹn gấp 100 lần
per đến con nít chúng ta cũng không bằng là sao ......... tuổi thơ và tuổi thanh xuân nợ chúng ta quá nhiều thứ rồi 😭😭😭😭,Sadness,per đến con_nít chúng_ta cũng không bằng là sao tuổi_thơ và tuổi thanh_xuân nợ chúng_ta quá nhiều thứ rồi icon_buon icon_buon icon_buon icon_buon
"đấy , chỉ có sale như tao mới tốt thôi , tao không bao giờ hỏi về nỗi đau của khách hàng : x",Enjoyment,đấy chỉ có sale như tao mới tốt thôi tao không bao_giờ hỏi về nỗi đau của khách_hàng x
kinh dị thật nhìn ngu vãi,Disgust,kinh_dị thật nhìn ngu vãi
con bé xinh ghê,Enjoyment,con bé xinh ghê
kaka cái mặt bà kìa,Enjoyment,kaka cái mặt bà kìa
lâu lâu tự nhiên ghen mặc dù đéo là gì của nhau 🙃🙃🙃,Anger,lâu_lâu tự_nhiên ghen mặc_dù đéo là gì của nhau
per tự nhiên thấy mình hơi thất đức,Other,per tự_nhiên thấy mình hơi thất_đức
tưởng tượng mà dưới sông có cá sấu nữa chắc hết dám đi,Fear,tưởng_tượng mà dưới sông có cá_sấu nữa chắc hết dám đi
cần xem cái kết của bọn này,Other,cần xem cái kết của bọn này
quá nguy hiểm,Fear,quá nguy_hiểm
maii ban thanh nhung nhớ cái này không hic 😭😭😭😭😭,Sadness,maii ban thanh nhung nhớ cái này không hic icon_buon icon_buon icon_buon icon_buon icon_buon
hoàng thượng mặc áo đầu lâu mới sợ chứ,Other,hoàng thượng mặc áo đầu_lâu mới sợ chứ
tao chả bao giờ làm thế,Other,tao chả bao_giờ làm thế
dume thằng mất dạy !,Anger,dume thằng mất_dạy
chưa bao giờ còn yêu nhiều hơn thế 😍😍 bởi cha mẹ cho tôi tất cả,Enjoyment,chưa bao_giờ còn yêu nhiều hơn thế icon_vui icon_vui bởi cha_mẹ cho tôi tất_cả
cuốn sổ vô dụng nhất mà tôi từng biết . ơn giời nó không còn nữa,Disgust,cuốn sổ vô_dụng nhất mà tôi từng biết ơn giời nó không còn nữa
có những người như chủ thớt bảo sao đất nước không phát triển,Disgust,có những người như chủ thớt bảo sao đất_nước không phát_triển
má lỡ té xuống 1 cái tao nói lên tắm 8 năm cũng đéo sạch nữa,Fear,má lỡ té xuống 1 cái tao nói lên tắm 8 năm cũng đéo sạch nữa
tao khuyên bọn mày đừng dắt bọn con gái theo . nó bắt bọn mày cõng nhảy qua đấy :))),Disgust,tao khuyên bọn mày đừng dắt bọn con_gái theo nó bắt bọn mày cõng nhảy qua đấy icon_vui
"bệnh quá , xấu mặt người dân 1 vùng quê đồng bằng bắc bộ",Disgust,bệnh quá xấu mặt người dân 1 vùng quê đồng_bằng bắc bộ
hai bác học nghiêm túc ghê :))),Enjoyment,hai bác_học nghiêm_túc ghê icon_vui
